ID,S14_m_CaT6,S15_m_CaT3,S16_m_CaT4,S19_m_Ca_Anti4,S20_m_Ca_Anti5
Psmc2,1647.107431,1713.471467,1667.833195,2192.936875,2531.085935
Psmd1,1926.096312,2059.728534,1952.336696,2384.539977,2744.777792
Psmd11,1437.865771,1513.065447,1493.055562,1864.849371,2177.885404
Psmd2,3523.384301,3675.223724,3930.537346,4893.753206,5558.202709
Psmd4,1824.92452,1698.997699,2129.465597,2536.772579,2603.054695
Pten,1290.706801,1397.275303,1388.032231,1725.74027,1698.46274
Ptn,512.7570366,315.0827973,442.8222534,262.470003,212.5846454
Pvr,178.5835419,169.2317498,202.992856,481.6324555,376.4519763
Ramp2,425.3813981,535.5294188,530.6029479,301.8405035,300.0543693
Rbm38,633.0901528,682.4938331,579.1958323,290.0293533,353.2005307
Rps6ka3,1197.199538,1341.606964,1130.176441,1518.388967,1603.242534
Rps6kb1,701.3044671,763.7696076,758.6760023,910.7709104,891.3054145
Rreb1,509.6912247,542.2096194,518.0628487,660.1120576,624.467396
Serpina3c,71.28012616,73.48220715,124.6172359,174.542552,211.4774337
Serpina3k,6.898076725,6.68020065,1.567512401,57.74340066,46.50289119
Serpina3n,4732.080634,5791.733964,15509.75146,42360.03379,33740.06198
Serpinb3d,111.1356806,123.583712,95.61825648,47.24460054,71.96876017
Serpine2,1244.719622,1260.331189,1096.474925,946.2043608,768.4049163
Serpinf1,1030.112791,1176.828681,990.6678377,594.4945568,398.5962102
Sfn,6065.708801,5546.793273,6187.755204,4639.157303,4705.649704
Sfrp2,18.39487127,25.60743582,20.37766122,7.87410009,1.107211695
Sgms1,1052.339927,1261.444556,1301.035293,1796.607171,2234.3532
Sirt3,256.7617448,290.5887283,242.180666,175.854902,146.1519437
Slc20a2,4710.619951,5031.304456,3830.216553,2850.424233,3038.188891
Slc2a3,65.91495538,59.00843907,86.21318208,128.6103015,119.5788631
Slc7a2,379.3942199,374.0912364,397.3643937,598.4316069,615.6097024
Slurp1,479.0331059,505.4685158,551.7643653,245.4094528,331.0562968
Socs2,162.4880295,168.118383,228.8568106,321.5257537,373.1303412
Sqstm1,4423.200087,4423.406197,4294.200224,5989.565469,7129.336104
Stat3,2521.63027,2880.279847,3359.962832,5517.119463,4427.739568
Syvn1,492.8292594,467.6140455,424.7958608,645.6762074,624.467396
Tfdp2,2106.21276,2232.300384,1800.287993,2788.743782,4310.375129
Tgfbr1,601.6655811,646.8660963,717.9206798,1026.257712,1047.422263
Tgfbr2,2160.630921,2424.912836,2370.078751,3497.41279,3288.418734
Tgif1,303.5153759,247.167424,281.368476,658.7997075,510.4245914
Tlr4,284.3540517,359.6174683,224.1542734,528.8770561,479.4226639
Tmbim1,2321.586045,2345.863795,2417.104123,3997.418146,5756.393602
Tsc22d1,2909.455472,2872.486279,3415.609523,6778.287828,5220.503142
Tsc22d3,2728.572571,3550.526645,3252.588233,4582.726252,4906.05502
Vegfa,1760.542471,1564.280319,1294.765244,917.3326605,579.0717165
Wfdc1,164.7873884,189.2723517,173.2101204,89.23980102,49.82452627
Xbp1,1861.714263,2088.67607,2182.761019,3678.517092,3602.866855
Ybx3,8073.815581,8729.908883,9129.192226,12555.25259,14622.94486
Zpr1,530.3854549,531.0759517,608.1948117,790.034709,820.443866
